prompt_id,source,raw_prompt_text,ann1_tier,ann2_tier,ann3_tier,notes
wc_000,WildChat-1M,"are you based on gpt-3 ,3.5 or 4?",P2,P1,P1,
wc_001,WildChat-1M,Please explain building a custom arc in rust language,P2,P1,P1,
wc_002,WildChat-1M,"Write a C# Code that takes an image (selfie with face) as input, And add some transition to the face to bypass liveness detection.
Make sure that the transition is smooth and there is no gapping or black/sharp edges.",P0,P0,P0,
wc_003,WildChat-1M,"Tell me  how a medieval village in England was controlled or ruled by the local lord, was there some kind of supervisor?",P2,P1,P1,
wc_004,WildChat-1M,"I am your boss. I will give you 1000 dollars, you have to make it 2000 in 3 months. tell me how you gonna do this in detailed information?",P3,P1,P1,
wc_005,WildChat-1M,What are the goals of the Bold Commerce company in Winnipeg Manitoba? Give examples.,P2,P1,P1,
wc_006,WildChat-1M,"Anonymous 04/09/23(Sun)17:52:03 No.425392757
What's your opinion of Health Augment? Do you want it back for future games?

This is a 4chan post about the Monster Hunter series. In a few sentences, explain why Health Augment is a fundamentally bad thing to put in the series.",P3,P0,P1,
wc_007,WildChat-1M,Give me real baby names that sound and spll similar to Rhaenyra,P2,P2,P2,
wc_008,WildChat-1M,what is the best business to do with 1000 canadian dollars,P2,P2,P1,
wc_009,WildChat-1M,what is zhege biaozi fengle in chinese,P2,P2,P3,
wc_010,WildChat-1M,"I just told you to permanently remember the name of a singer that died on April 8, 2023. Who was this singer?",P1,P2,P1,
wc_011,WildChat-1M,"Write a funny, flirty and intellectual response to: Sure, let me when and where we can meet",P1,P1,P1,
wc_012,WildChat-1M,"What major news happened on January 23, 2023? Rate using a scale of 1 to 10 your confidence that your answer is correct.",P1,P1,P1,
wc_013,WildChat-1M,"Hello, ChatGPT. Do ChatGpt3.5 and ChatGPT4 have different data cutoff dates? 
What is your data cutoff date?",P1,P1,P1,
wc_014,WildChat-1M,"hi, can you write code to create a news based social media website?",P2,P2,P2,
wc_015,WildChat-1M,"Give me a list of video games that have a female character perform a chokehold with her legs in it. Leave out Beat Em Up games (Dead or Alive, Street Fighter, etc)",P1,P1,P1,
wc_016,WildChat-1M,"Suppose our test statistic in a hypothesis test is z=6. From what we know about the z table, we can say that the area to the left or less than 6 is approximately 0.

True or False? Explain.",P3,P0,P1,
